step;USDN Price;LUSD Price;BUSD Price;USDP Price;USDN TVL;LUSD TVL;BUSD TVL;USDP TVL
0;1.0412;1.0375;1.0148;1.0154;122107228;56636099;42076293;55593537
1;1.0423;1.0382;1.0149;1.0157;130143744;57855233;40660593;54924834
2;1.0432;1.0386;1.0157;1.0162;131254402;63897629;42441397;54218150
3;1.0438;1.0391;1.016;1.0167;134586621;68760305;43000005;43995911
4;1.0444;1.0393;1.0163;1.0167;141862768;68711061;42002023;41413052
5;1.0445;1.0395;1.0166;1.0174;138825942;65386564;39473684;41805702
6;1.0451;1.0399;1.0168;1.0176;139467822;65234346;39946458;41979914
7;1.0458;1.0399;1.017;1.018;138628504;64890174;38855153;41484891
8;1.0459;1.0405;1.0173;1.0181;135310338;59451282;40002866;39502861
9;1.0471;1.0406;1.0175;1.0191;208611766;61266160;40985813;41823814
10;1.0471;1.0411;1.0176;1.0191;206079162;61078272;39489994;41250083
11;1.0477;1.0411;1.0176;1.0197;199258666;60918212;38685013;41013894
12;1.0482;1.0417;1.018;1.022021;196650717;58732302;36850949;40622978
13;1.0483;1.0418;1.018;1.022021;191349543;53725706;33999956;39412964
14;1.0488;1.0423;1.0183;1.0203;185744791;53514775;29180057;38288640
15;1.0489;1.0423;1.0183;1.0204;183808123;53092466;18538355;37820304
16;1.0497;1.0431;1.019;1.0207;176618059;53217492;17493661;36804302
17;1.0499;1.0435;1.019;1.0213;181552889;65127027;16572415;32301019
18;1.0504;1.0438;1.0195;1.0214;181418312;65967755;15845861;32186607
19;1.0508;1.0441;1.0195;1.0215;180568706;65934558;15743422;29864406
20;1.0509;1.0441;1.0198;1.0215;180022250;65090746;15548424;29574080
21;1.0513;1.0446;1.0198;1.0218;180564422;65859469;15552075;29191235
22;1.0517;1.0447;1.0202;1.0218;180279420;64926213;15303964;27002803
23;1.0523;1.0451;1.0202;1.0221;181142375;67466413;15305290;27022320
24;1.0524;1.0453;1.0205;1.0221;178906898;68780737;15254159;26436372
25;1.0528;1.0456;1.0205;1.0225;178823397;69877615;15161614;24407754
26;1.053;1.0456;1.0208;1.0225;178968307;69816876;15046990;24358450
27;1.0532;1.0461;1.0208;1.0229;177906294;69847359;15021086;24371595
28;1.0536;1.0461;1.0212;1.0229;186919869;69823894;11646016;24367730
29;1.0539;1.0467;1.0212;1.0234;190181266;72682247;11628847;23949771
